CPU Name,Brand,Generation,Series,Socket,Cores,Threads,GHz,TDP,Price,Link,Store,Model,Image URL
"Intel Core i5-10400F (6C/12T, 2.90 GHz, 12MB Cache, LGA1200, 65W)",Intel,10th,i5,LGA1200,6,12,2.9,65W,107.82,https://www.dateks.lv/cenas/procesori-intel/534486-intel-core-i5-10400f-6c-12t-2-90-ghz-12mb-cache-lga1200-65w-,Dateks,Core i5-10400F,https://www.dateks.lv/images/pic/1200/1200/886/661.jpg
"Intel Core i3-13100 (4C/8T, 3.40 GHz, 12MB Cache, LGA1700, 60W), TRAY",Intel,13th,i3,LGA1700,4,8,3.4,60W,113.14,https://www.dateks.lv/cenas/procesori-intel/940353-intel-core-i3-13100-4c-8t-3-40-ghz-12mb-cache-lga1700-60w-tray,Dateks,Core i3-13100,https://www.dateks.lv/images/pic/1200/1200/960/1449.jpg
"Intel Core i3-10100 (4C/8T, 3.60 GHz, 6MB Cache, LGA1200, 65W), TRAY",Intel,10th,i3,LGA1200,4,8,3.6,65W,116.2,https://www.dateks.lv/cenas/procesori-intel/539914-intel-core-i3-10100-4c-8t-3-60-ghz-6mb-cache-lga1200-65w-tray,Dateks,Core i3-10100,https://www.dateks.lv/images/pic/1200/1200/590/1069.jpg
"Intel Core i3-14100 (4C/8T, 3.50 GHz, 12MB Cache, LGA1700, 60W), TRAY",Intel,14th,i3,LGA1700,4,8,3.5,60W,116.65,https://www.dateks.lv/cenas/procesori-intel/1051757-intel-core-i3-14100-4c-8t-3-50-ghz-12mb-cache-lga1700-60w-tray,Dateks,Core i3-14100,https://www.dateks.lv/images/pic/1200/1200/890/1577.jpg
"Intel Core i5-12400F (6C/12T, 2.50 GHz, 18MB Cache, LGA1700, 65W)",Intel,12th,i5,LGA1700,6,12,2.5,65W,120.69,https://www.dateks.lv/cenas/procesori-intel/796919-intel-core-i5-12400f-6c-12t-2-50-ghz-18mb-cache-lga1700-65w-,Dateks,Core i5-12400F,https://www.dateks.lv/images/pic/1200/1200/218/1117.jpg
"Intel Core i3-12100 (4C/8T, 3.30 GHz, 12MB Cache, LGA1700, 60W)",Intel,12th,i3,LGA1700,4,8,3.3,60W,121.26,https://www.dateks.lv/cenas/procesori-intel/796784-intel-core-i3-12100-4c-8t-3-30-ghz-12mb-cache-lga1700-60w-,Dateks,Core i3-12100,https://www.dateks.lv/images/pic/1200/1200/187/1117.jpg
"Intel Core i5-13400F (6P+4E/16T, 2.50 GHz, 20MB Cache, LGA1700, 65W), TRAY",Intel,13th,i5,LGA1700,10,16,2.5,65W,122.21,https://www.dateks.lv/cenas/procesori-intel/941154-intel-core-i5-13400f-6p-4e-16t-2-50-ghz-20mb-cache-lga1700-65w-tray,Dateks,Core i5-13400F,https://www.dateks.lv/images/pic/1200/1200/261/1307.jpg
"Intel Core i5-11400 (6C/12T, 2.60 GHz, 12MB Cahe, LGA1200, 65W), TRAY",Intel,11th,i5,LGA1200,6,12,2.6,65W,124.8,https://www.dateks.lv/cenas/procesori-intel/711704-intel-core-i5-11400-6c-12t-2-60-ghz-12mb-cahe-lga1200-65w-tray,Dateks,Core i5-11400,https://www.dateks.lv/images/pic/1200/1200/257/1028.jpg
"Intel Core i5-10600KF (6C/12T, 4.10 GHz, 12MB Cache, LGA1200, 125W)",Intel,10th,i5,LGA1200,6,12,4.1,125W,125.39,https://www.dateks.lv/cenas/procesori-intel/534488-intel-core-i5-10600kf-6c-12t-4-10-ghz-12mb-cache-lga1200-125w-,Dateks,Core i5-10600KF,https://www.dateks.lv/images/pic/1200/1200/218/663.jpg
"Intel Core i5-10400 (6C/12T, 2.90 GHz, 12MB Cache, LGA1200, 65W), TRAY",Intel,10th,i5,LGA1200,6,12,2.9,65W,129.0,https://www.dateks.lv/cenas/procesori-intel/815227-intel-core-i5-10400-6c-12t-2-90-ghz-12mb-cache-lga1200-65w-tray,Dateks,Core i5-10400,https://www.dateks.lv/images/pic/1200/1200/822/665.jpg
